Date,Central_Bank_Rate
05-12-23,12.50
03-10-23,10.50
09-08-23,10.50
26-06-23,10.50
29-05-23,9.50
29-03-23,9.50
30-01-23,8.75
23-11-22,8.75
29-09-22,8.25
27-07-22,7.50
30-05-22,7.50
29-03-22,7.00
26-01-22,7.00
29-11-21,7.00
28-09-21,7.00
28-07-21,7.00
26-05-21,7.00
29-03-21,7.00
27-01-21,7.00
26-11-20,7.00
29-09-20,7.00
29-07-20,7.00
25-06-20,7.00
27-05-20,7.00
27-05-20,7.00
29-04-20,7.00
23-03-20,7.25
27-01-20,8.25
25-11-19,8.50
23-09-19,9.00
24-07-19,9.00
27-05-19,9.00
27-05-19,9.00
27-03-19,9.00
28-01-19,9.00
27-11-18,9.00
25-09-18,9.00
30-07-18,9.00
28-05-18,9.50
19-03-18,9.50
22-01-18,10.00
23-11-17,10.00
18-09-17,10.00
17-07-17,10.00
29-05-17,10.00
27-03-17,10.00
30-01-17,10.00
28-11-16,10.00
20-09-16,10.00
25-07-16,10.50
23-05-16,10.50
21-03-16,11.50
20-01-16,11.50
17-11-15,11.50
22-09-15,11.50
05-08-15,11.50
07-07-15,11.50
09-06-15,10.00
06-05-15,8.50
26-02-15,8.50
14-01-15,8.50
04-11-14,8.50
03-09-14,8.50
08-07-14,8.50
30-04-14,8.50
04-03-14,8.50
14-01-14,8.50
05-11-13,8.50
03-09-13,8.50
09-07-13,8.50
07-05-13,8.50
12-03-13,9.50
10-01-13,9.50
